CSDUID,CSDNAME,Type,Price,Location,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population
3501005,South Glengarry,1,1425,"45.2561615,-74.5953852",2,1,0,1,1,950,1,14211
3501005,South Glengarry,1,1100,"45.1920027,-74.3746039",2,1,0,0,1,780,1,14211
3501005,South Glengarry,2,2700,"45.146672,-74.579565",3,2.5,0,1,1,2200,1,14211
3501005,South Glengarry,2,1200,"45.143726,-74.502708",2,1.5,0,0,1,900,1,14211
3501005,South Glengarry,2,4000,"45.0689727,-74.5428728",2.5,3,0,1,1,1400,1,14211
3501005,South Glengarry,1,1695,"45.059039,-74.558464",1,1,1,1,1,850,1,14211
3501005,South Glengarry,1,1095,"45.1359806,-74.6195878",1,1,0,0,1,600,1,14211
3501005,South Glengarry,2,2180,"45.2561615,-74.5953852",2,2,0,0,1,1200,1,14211
3501005,South Glengarry,5,2400,"45.1545916,-74.7106339",2.5,2,0,0,0,1466,1,14211
3501011,South Stormont,2,2340,"45.030398,-74.890559",2,2,0,0,0,1950,1,13903
3501011,South Stormont,1,1400,"45.030398,-74.890559",2,1,0,0,1,900,1,13903
3501011,South Stormont,1,1000,"45.030398,-74.890559",1,1,0,0,1,800,1,13903
3501011,South Stormont,1,1200,"45.030398,-74.890559",2,1,0,0,1,500,1,13903
3501011,South Stormont,1,1400,"45.030398,-74.890559",2,1,0,0,1,900,1,13903
3501011,South Stormont,1,1400,"45.030398,-74.890559",2,1,0,0,1,1200,1,13903
3501011,South Stormont,1,1800,"44.9988604,-74.9855072",3,1,0,0,0,1000,1,13903
3501011,South Stormont,1,895,"44.9988604,-74.9855072",1,1,0,0,1,440,1,13903
3501011,South Stormont,6,1700,"45.0522978,-74.8467934",2,1,0,0,0,1500,1,13903
3501012,Cornwall,2,3000,"45.0573855,-74.7703395",4,2,0,0,0,2300,1,49442
3501012,Cornwall,6,900,"45.0543824,-74.6911526",1,1,0,1,1,1000,1,49442
3501012,Cornwall,2,1850,"45.0524693,-74.7612806",4,2,0,0,1,900,1,49442
3501012,Cornwall,2,2275,"45.051508,-74.7465675",5,2,0,0,0,2250,1,49442
